,mutation_base,mutation_reference,mutation_n_comps,use_archive,crossover,adaptation_method,lpsr
458,target,pbest,2,True,bin,shade,True
459,target,pbest,2,True,bin,shade,False
460,target,pbest,2,True,bin,jDE,True
461,target,pbest,2,True,bin,jDE,False
462,target,pbest,2,True,exp,,True
463,target,pbest,2,True,exp,,False
464,target,pbest,2,True,exp,shade,True
465,target,pbest,2,True,exp,shade,False
466,target,pbest,2,True,exp,jDE,True
467,target,pbest,2,True,exp,jDE,False
468,target,pbest,2,False,bin,,True
469,target,pbest,2,False,bin,,False
470,target,pbest,2,False,bin,shade,True
471,target,pbest,2,False,bin,shade,False
472,target,pbest,2,False,bin,jDE,True
473,target,pbest,2,False,bin,jDE,False
474,target,pbest,2,False,exp,,True
475,target,pbest,2,False,exp,,False
476,target,pbest,2,False,exp,shade,True
477,target,pbest,2,False,exp,shade,False
478,target,pbest,2,False,exp,jDE,True
479,target,pbest,2,False,exp,jDE,False
480,target,best,1,True,bin,,True
481,target,best,1,True,bin,,False
482,target,best,1,True,bin,shade,True
483,target,best,1,True,bin,shade,False
484,target,best,1,True,bin,jDE,True
485,target,best,1,True,bin,jDE,False
486,target,best,1,True,exp,,True
487,target,best,1,True,exp,,False
488,target,best,1,True,exp,shade,True
489,target,best,1,True,exp,shade,False
490,target,best,1,True,exp,jDE,True
491,target,best,1,True,exp,jDE,False
492,target,best,1,False,bin,,True
493,target,best,1,False,bin,,False
494,target,best,1,False,bin,shade,True
495,target,best,1,False,bin,shade,False
496,target,best,1,False,bin,jDE,True
497,target,best,1,False,bin,jDE,False
498,target,best,1,False,exp,,True
499,target,best,1,False,exp,,False
500,target,best,1,False,exp,shade,True
501,target,best,1,False,exp,shade,False
502,target,best,1,False,exp,jDE,True
503,target,best,1,False,exp,jDE,False
504,target,best,2,True,bin,,True
505,target,best,2,True,bin,,False
506,target,best,2,True,bin,shade,True
507,target,best,2,True,bin,shade,False
508,target,best,2,True,bin,jDE,True
509,target,best,2,True,bin,jDE,False
510,target,best,2,True,exp,,True
511,target,best,2,True,exp,,False
512,target,best,2,True,exp,shade,True
513,target,best,2,True,exp,shade,False
514,target,best,2,True,exp,jDE,True
515,target,best,2,True,exp,jDE,False
516,target,best,2,False,bin,,True
517,target,best,2,False,bin,,False
518,target,best,2,False,bin,shade,True
519,target,best,2,False,bin,shade,False
520,target,best,2,False,bin,jDE,True
521,target,best,2,False,bin,jDE,False
522,target,best,2,False,exp,,True
523,target,best,2,False,exp,,False
524,target,best,2,False,exp,shade,True
525,target,best,2,False,exp,shade,False
526,target,best,2,False,exp,jDE,True
527,target,best,2,False,exp,jDE,False
528,target,rand,1,True,bin,,True
529,target,rand,1,True,bin,,False
530,target,rand,1,True,bin,shade,True
531,target,rand,1,True,bin,shade,False
532,target,rand,1,True,bin,jDE,True
533,target,rand,1,True,bin,jDE,False
534,target,rand,1,True,exp,,True
535,target,rand,1,True,exp,,False
536,target,rand,1,True,exp,shade,True
537,target,rand,1,True,exp,shade,False
538,target,rand,1,True,exp,jDE,True
539,target,rand,1,True,exp,jDE,False
540,target,rand,1,False,bin,,True
541,target,rand,1,False,bin,,False
542,target,rand,1,False,bin,shade,True
543,target,rand,1,False,bin,shade,False
544,target,rand,1,False,bin,jDE,True
545,target,rand,1,False,bin,jDE,False
546,target,rand,1,False,exp,,True
547,target,rand,1,False,exp,,False
548,target,rand,1,False,exp,shade,True
549,target,rand,1,False,exp,shade,False
550,target,rand,1,False,exp,jDE,True
551,target,rand,1,False,exp,jDE,False
552,target,rand,2,True,bin,,True
553,target,rand,2,True,bin,,False
554,target,rand,2,True,bin,shade,True
555,target,rand,2,True,bin,shade,False
556,target,rand,2,True,bin,jDE,True
557,target,rand,2,True,bin,jDE,False
558,target,rand,2,True,exp,,True
559,target,rand,2,True,exp,,False
560,target,rand,2,True,exp,shade,True
561,target,rand,2,True,exp,shade,False
562,target,rand,2,True,exp,jDE,True
563,target,rand,2,True,exp,jDE,False
564,target,rand,2,False,bin,,True
565,target,rand,2,False,bin,,False
566,target,rand,2,False,bin,shade,True
567,target,rand,2,False,bin,shade,False
568,target,rand,2,False,bin,jDE,True
569,target,rand,2,False,bin,jDE,False
570,target,rand,2,False,exp,,True
571,target,rand,2,False,exp,,False
572,target,rand,2,False,exp,shade,True
573,target,rand,2,False,exp,shade,False
574,target,rand,2,False,exp,jDE,True
575,target,rand,2,False,exp,jDE,False
